KUCAT ID,Exam Type,CBT Score,Program Applied
KUCAT_2019_1315,KUCAT-PCM,847,BE in Mechanical Engineering(Design and Manufacturing)
KUCAT_2019_1316,KUCAT-PCM,547,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1317,KUCAT-PCM,520,BE in Computer Engineering
KUCAT_2019_1318,KUCAT-PCM,555,BSc In Computer Science
KUCAT_2019_1319,KUCAT-PCM,384,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1320,KUCAT-PCM,831,BE in Mechanical Engineering(Hydropower)
KUCAT_2019_1321,KUCAT-PCM,684,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1322,KUCAT-PCM,660,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1323,KUCAT-PCM,910,BArch in Architecture
KUCAT_2019_1324,KUCAT-PCM,798,BArch in Architecture
KUCAT_2019_1325,KUCAT-PCM,585,BSc In Computer Science
KUCAT_2019_1326,KUCAT-PCM,877,BArch in Architecture
KUCAT_2019_1327,KUCAT-PCB,373,Bachelor of Pharmacy
KUCAT_2019_1328,KUCAT-PCB,489,Bachelor of Pharmacy
KUCAT_2019_1329,KUCAT-PCM,332,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1330,KUCAT-PCM,408,BE in Computer Engineering
KUCAT_2019_1331,KUCAT-PCM,631,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1332,KUCAT-PCM,975,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1333,KUCAT-PCM,784,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1334,KUCAT-PCM,723,BArch in Architecture
KUCAT_2019_1335,KUCAT-PCM,752,BE in Computer Engineering
KUCAT_2019_1336,KUCAT-PCM,420,BE in Computer Engineering
KUCAT_2019_1337,KUCAT-PCM,835,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1338,KUCAT-PCM,622,BE in Mechanical Engineering(Energy Technology)
KUCAT_2019_1339,KUCAT-PCM,717,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1340,KUCAT-PCM,1081,BE in Computer Engineering
KUCAT_2019_1341,KUCAT-PCM,729,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1342,KUCAT-PCM,522,BE in Computer Engineering
KUCAT_2019_1343,KUCAT-PCM,693,BTech in Environmental Engineering
KUCAT_2019_1344,KUCAT-PCM,586,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1345,KUCAT-PCM,612,BArch in Architecture
KUCAT_2019_1346,KUCAT-PCM,554,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1347,KUCAT-PCM,486,BE in Computer Engineering
KUCAT_2019_1348,KUCAT-PCM,636,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1349,KUCAT-PCM,824,BE in Computer Engineering
KUCAT_2019_1350,KUCAT-PCM,924,BE in Computer Engineering
KUCAT_2019_1351,KUCAT-PCM,389,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1352,KUCAT-PCM,834,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1353,KUCAT-PCM,636,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1354,KUCAT-PCM,696,BE in Geomatics Engineering
KUCAT_2019_1355,KUCAT-PCM,558,BE in Computer Engineering
KUCAT_2019_1356,KUCAT-PCM,734,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1357,KUCAT-PCB,645,BTech in Biotechnology
KUCAT_2019_1358,KUCAT-PCM,674,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1359,KUCAT-PCM,698,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1360,KUCAT-PCM,555,BE in Computer Engineering
KUCAT_2019_1361,KUCAT-PCM,481,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1362,KUCAT-PCM,775,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1363,KUCAT-PCB,518,BSc in Environmental Science
KUCAT_2019_1320,KUCAT-PCM,831,BE in Mechanical Engineering(Hydropower)
KUCAT_2019_1321,KUCAT-PCM,684,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1322,KUCAT-PCM,660,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1323,KUCAT-PCM,910,BArch in Architecture
KUCAT_2019_1324,KUCAT-PCM,798,BArch in Architecture
KUCAT_2019_1325,KUCAT-PCM,585,BSc In Computer Science
KUCAT_2019_1326,KUCAT-PCM,877,BArch in Architecture
KUCAT_2019_1327,KUCAT-PCB,373,Bachelor of Pharmacy
KUCAT_2019_1328,KUCAT-PCB,489,Bachelor of Pharmacy
KUCAT_2019_1329,KUCAT-PCM,332,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1330,KUCAT-PCM,408,BE in Computer Engineering
KUCAT_2019_1331,KUCAT-PCM,631,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1332,KUCAT-PCM,975,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1333,KUCAT-PCM,784,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1334,KUCAT-PCM,723,BArch in Architecture
KUCAT_2019_1335,KUCAT-PCM,752,BE in Computer Engineering
KUCAT_2019_1336,KUCAT-PCM,420,BE in Computer Engineering
KUCAT_2019_1337,KUCAT-PCM,835,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1338,KUCAT-PCM,622,BE in Mechanical Engineering(Energy Technology)
KUCAT_2019_1339,KUCAT-PCM,717,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1340,KUCAT-PCM,1081,BE in Computer Engineering
KUCAT_2019_1341,KUCAT-PCM,729,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1342,KUCAT-PCM,522,BE in Computer Engineering
KUCAT_2019_1343,KUCAT-PCM,693,BTech in Environmental Engineering
KUCAT_2019_1344,KUCAT-PCM,586,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1345,KUCAT-PCM,612,BArch in Architecture
KUCAT_2019_1346,KUCAT-PCM,554,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1347,KUCAT-PCM,486,BE in Computer Engineering
KUCAT_2019_1348,KUCAT-PCM,636,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1349,KUCAT-PCM,824,BE in Computer Engineering
KUCAT_2019_1350,KUCAT-PCM,924,BE in Computer Engineering
KUCAT_2019_1351,KUCAT-PCM,389,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1352,KUCAT-PCM,834,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1353,KUCAT-PCM,636,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1354,KUCAT-PCM,696,BE in Geomatics Engineering
KUCAT_2019_1355,KUCAT-PCM,558,BE in Computer Engineering
KUCAT_2019_1356,KUCAT-PCM,734,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1357,KUCAT-PCB,645,BTech in Biotechnology
KUCAT_2019_1358,KUCAT-PCM,674,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1359,KUCAT-PCM,698,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1360,KUCAT-PCM,555,BE in Computer Engineering
KUCAT_2019_1361,KUCAT-PCM,481,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1362,KUCAT-PCM,775,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1363,KUCAT-PCB,518,BSc in Environmental Science
KUCAT_2019_1364,KUCAT-PCB,551,BSc in Environmental Science
KUCAT_2019_1365,KUCAT-PCM,591,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1366,KUCAT-PCM,716,BE in Computer Engineering
KUCAT_2019_1367,KUCAT-PCM,757,BE in Computer Engineering
KUCAT_2019_1368,KUCAT-PCM,478,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1369,KUCAT-PCM,596,BE in Computer Engineering
KUCAT_2019_1370,KUCAT-PCM,633,BArch in Architecture
KUCAT_2019_1371,KUCAT-PCM,700,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1372,KUCAT-PCM,655,BE in Computer Engineering
KUCAT_2019_1373,KUCAT-PCM,928,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1374,KUCAT-PCB,678,Bachelor of Pharmacy
KUCAT_2019_1375,KUCAT-PCM,725,BE in Computer Engineering
KUCAT_2019_1376,KUCAT-PCM,421,BE in Computer Engineering
KUCAT_2019_1377,KUCAT-PCM,338,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1378,KUCAT-PCM,316,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1379,KUCAT-PCM,480,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1380,KUCAT-PCB,386,BSc in Environmental Science
KUCAT_2019_1381,KUCAT-PCM,640,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1382,KUCAT-PCB,936,Bachelor of Pharmacy
KUCAT_2019_1383,KUCAT-PCM,561,BArch in Architecture
KUCAT_2019_1384,KUCAT-PCM,553,BArch in Architecture
KUCAT_2019_1385,KUCAT-PCB,472,Bachelor of Pharmacy
KUCAT_2019_1386,KUCAT-PCM,0,BE in Computer Engineering
KUCAT_2019_1387,KUCAT-PCM,858,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1388,KUCAT-PCM,482,BE in Computer Engineering
KUCAT_2019_1389,KUCAT-PCM,671,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1390,KUCAT-PCM,754,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1391,KUCAT-PCM,639,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1392,KUCAT-PCM,607,BSc In Computer Science
KUCAT_2019_1393,KUCAT-PCM,706,BE in Computer Engineering
KUCAT_2019_1394,KUCAT-PCM,1214,BE in Computer Engineering
KUCAT_2019_1395,KUCAT-PCM,849,BE in Electrical & Electronic Engineering (Communication)
KUCAT_2019_1396,KUCAT-PCM,542,BE in Computer Engineering
KUCAT_2019_1397,KUCAT-PCB,926,BTech in Biotechnology
KUCAT_2019_1398,KUCAT-PCM,993,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1399,KUCAT-PCM,724,BE in Computer Engineering
KUCAT_2019_1400,KUCAT-PCB,415,Bachelor of Pharmacy
KUCAT_2019_1401,KUCAT-PCM,643,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1402,KUCAT-PCM,820,BE in Computer Engineering
KUCAT_2019_1403,KUCAT-PCM,989,BE in Computer Engineering
KUCAT_2019_1404,KUCAT-PCM,702,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1405,KUCAT-PCM,589,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1406,KUCAT-PCM,505,BE in Computer Engineering
KUCAT_2019_1407,KUCAT-PCM,555,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1364,KUCAT-PCB,551,BSc in Environmental Science
KUCAT_2019_1365,KUCAT-PCM,591,BE in Mechanical Engineering(Automobile)
KUCAT_2019_1366,KUCAT-PCM,716,BE in Computer Engineering
KUCAT_2019_1367,KUCAT-PCM,757,BE in Computer Engineering
KUCAT_2019_1368,KUCAT-PCM,478,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1369,KUCAT-PCM,596,BE in Computer Engineering
KUCAT_2019_1370,KUCAT-PCM,633,BArch in Architecture
KUCAT_2019_1371,KUCAT-PCM,700,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1372,KUCAT-PCM,655,BE in Computer Engineering
KUCAT_2019_1373,KUCAT-PCM,928,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1374,KUCAT-PCB,678,Bachelor of Pharmacy
KUCAT_2019_1375,KUCAT-PCM,725,BE in Computer Engineering
KUCAT_2019_1376,KUCAT-PCM,421,BE in Computer Engineering
KUCAT_2019_1377,KUCAT-PCM,338,BE in Electrical & Electronic Engineering (Power & Control)
KUCAT_2019_1378,KUCAT-PCM,316,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1379,KUCAT-PCM,480,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1380,KUCAT-PCB,386,BSc in Environmental Science
KUCAT_2019_1381,KUCAT-PCM,640,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1382,KUCAT-PCB,936,Bachelor of Pharmacy
KUCAT_2019_1383,KUCAT-PCM,561,BArch in Architecture
KUCAT_2019_1384,KUCAT-PCM,553,BArch in Architecture
KUCAT_2019_1385,KUCAT-PCB,472,Bachelor of Pharmacy
KUCAT_2019_1386,KUCAT-PCM,0,BE in Computer Engineering
KUCAT_2019_1387,KUCAT-PCM,858,BE in Civil Engineering (Specialization in Hydropower)
KUCAT_2019_1388,KUCAT-PCM,482,BE in Computer Engineering
